Iso8601Time,3579.feed_161522.tvoc_ch0
2023-10-25T05:14:07.080000-04:00,67
2023-10-25T05:14:08.083000-04:00,68
2023-10-25T05:14:09.080000-04:00,63
2023-10-25T05:14:10.080000-04:00,67
2023-10-25T05:14:11.082000-04:00,63
2023-10-25T05:14:12.083000-04:00,76
2023-10-25T05:14:13.081000-04:00,64
2023-10-25T05:14:14.080000-04:00,62
2023-10-25T05:14:15.080000-04:00,73
2023-10-25T05:14:16.080000-04:00,67
2023-10-25T05:14:17.080000-04:00,59
2023-10-25T05:14:18.081000-04:00,64
2023-10-25T05:14:19.080000-04:00,67
2023-10-25T05:14:20.080000-04:00,69
2023-10-25T05:14:21.081000-04:00,66
2023-10-25T05:14:22.080000-04:00,75
2023-10-25T05:14:23.080000-04:00,70
2023-10-25T05:14:24.080000-04:00,65
2023-10-25T05:14:25.080000-04:00,80
2023-10-25T05:14:26.080000-04:00,73
2023-10-25T05:14:27.084000-04:00,72
2023-10-25T05:14:28.081000-04:00,66
2023-10-25T05:14:29.080000-04:00,63
2023-10-25T05:14:30.080000-04:00,66
2023-10-25T05:14:31.081000-04:00,79
2023-10-25T05:14:32.080000-04:00,82
2023-10-25T05:14:33.080000-04:00,71
2023-10-25T05:14:34.080000-04:00,79
2023-10-25T05:14:35.080000-04:00,72
2023-10-25T05:14:36.081000-04:00,77
2023-10-25T05:14:37.080000-04:00,69
2023-10-25T05:14:38.080000-04:00,79
2023-10-25T05:14:39.080000-04:00,82
2023-10-25T05:14:40.080000-04:00,69
2023-10-25T05:14:41.081000-04:00,90
2023-10-25T05:14:42.080000-04:00,76
2023-10-25T05:14:43.081000-04:00,69
2023-10-25T05:14:44.080000-04:00,64
2023-10-25T05:14:45.081000-04:00,99
2023-10-25T05:14:46.080000-04:00,89
2023-10-25T05:14:47.081000-04:00,77
2023-10-25T05:14:48.080000-04:00,77
2023-10-25T05:14:49.080000-04:00,65
2023-10-25T05:14:50.080000-04:00,77
2023-10-25T05:14:51.081000-04:00,87
2023-10-25T05:14:52.080000-04:00,82
2023-10-25T05:14:53.080000-04:00,78
2023-10-25T05:14:54.080000-04:00,67
2023-10-25T05:14:55.080000-04:00,75
2023-10-25T05:14:56.080000-04:00,80
2023-10-25T05:14:57.080000-04:00,72
2023-10-25T05:14:58.081000-04:00,85
2023-10-25T05:14:59.080000-04:00,82
2023-10-25T05:15:00.080000-04:00,79
2023-10-25T05:15:01.081000-04:00,75
2023-10-25T05:15:02.083000-04:00,81
2023-10-25T05:15:03.080000-04:00,76
2023-10-25T05:15:04.082000-04:00,76
2023-10-25T05:15:05.080000-04:00,79
2023-10-25T05:15:06.080000-04:00,71
2023-10-25T05:15:07.080000-04:00,74
2023-10-25T05:15:08.080000-04:00,69
2023-10-25T05:15:09.080000-04:00,78
2023-10-25T05:15:10.080000-04:00,76
2023-10-25T05:15:11.080000-04:00,70
2023-10-25T05:15:12.080000-04:00,73
2023-10-25T05:15:13.081000-04:00,55
2023-10-25T05:15:14.080000-04:00,70
